,early_stop_epoch,name,test_acc,time_taken_one_epoch,train_err
0,23,q1_char_cnn,"[0.29142857, 0.35142857, 0.42714286, 0.4342857, 0.4457143, 0.40571427, 0.42714286, 0.42714286, 0.43857142, 0.43285716, 0.42714286, 0.4157143, 0.41714287, 0.41, 0.42714286, 0.3857143, 0.40428573, 0.4, 0.38428572, 0.39285713, 0.39285713, 0.38142857, 0.37142858]",816.6260615639065,"[2.045596, 1.6356487, 1.3118626, 1.1530693, 0.9562123, 0.8527489, 0.7539931, 0.7194233, 0.613715, 0.5167081, 0.4935118, 0.4292198, 0.37896076, 0.34855786, 0.3250239, 0.3189142, 0.2860453, 0.27929392, 0.25586882, 0.26695406, 0.24718723, 0.22461584, 0.21440727]"
1,23,q2_word_cnn,"[0.40857142, 0.77428573, 0.82285714, 0.8371429, 0.81857145, 0.83285713, 0.8257143, 0.82285714, 0.83285713, 0.8371429, 0.83285713, 0.82714283, 0.83285713, 0.8385714, 0.83428574, 0.8357143, 0.8314286, 0.8371429, 0.8314286, 0.83428574, 0.83285713, 0.83285713, 0.8385714]",246.20867812115213,"[1.2861402, 0.32205522, 0.063108325, 0.01178079, 0.004673646, 0.002114126, 0.0014814719, 0.0014709396, 0.0011358638, 0.0007809261, 0.000598072, 0.0005232627, 0.00042373114, 0.00039928098, 0.00032386323, 0.00027791507, 0.00025885057, 0.00023988442, 0.00021731289, 0.00019290733, 0.00017492945, 0.00015889837, 0.00015290888]"
2,34,q3_char_rnn,"[0.071428575, 0.08571429, 0.16, 0.21428572, 0.27571428, 0.31714284, 0.33142856, 0.34428573, 0.39571428, 0.39142856, 0.38857144, 0.3942857, 0.40428573, 0.40285715, 0.4157143, 0.41285715, 0.41285715, 0.40571427, 0.4242857, 0.4242857, 0.4342857, 0.41857144, 0.4342857, 0.42714286, 0.43, 0.44, 0.43714285, 0.42571428, 0.42571428, 0.42571428, 0.4342857, 0.44, 0.43285716, 0.42142856]",6687.811753329109,"[2.646702, 2.6376595, 2.4035099, 2.2629359, 2.0727804, 1.8569663, 1.7704601, 1.6847055, 1.589209, 1.5170252, 1.4932722, 1.4409643, 1.4154178, 1.3511318, 1.3040261, 1.2692217, 1.2381458, 1.264453, 1.2164849, 1.1623623, 1.1339885, 1.1236459, 1.0793968, 1.0601876, 1.0774839, 1.0265167, 1.0111135, 1.0047141, 1.0000573, 0.978538, 1.0096527, 0.96796256, 0.96895826, 0.94948643]"
3,26,q4_word_rnn,"[0.071428575, 0.14285715, 0.5057143, 0.68857145, 0.8471429, 0.8542857, 0.88, 0.8814286, 0.8957143, 0.8857143, 0.89, 0.8971428, 0.89285713, 0.89285713, 0.89857143, 0.8957143, 0.89428574, 0.89428574, 0.89285713, 0.89285713, 0.8914286, 0.89285713, 0.89428574, 0.89, 0.8914286, 0.89285713]",7071.599987836985,"[2.6443133, 2.2284782, 1.482047, 0.7078509, 0.29636505, 0.119294606, 0.080519944, 0.036256142, 0.024030875, 0.01711797, 0.013692907, 0.010263021, 0.0076096244, 0.0069715288, 0.0057331966, 0.00429177, 0.0037223957, 0.003223043, 0.0028560434, 0.0025617515, 0.0023175746, 0.0021074573, 0.0019275584, 0.0017689473, 0.0016318114, 0.0015097262]"
4,62,q5_char_cnn_0.1,"[0.074285716, 0.11, 0.07285714, 0.11857143, 0.08142857, 0.074285716, 0.07571428, 0.07857143, 0.074285716, 0.07714286, 0.08, 0.08, 0.07571428, 0.07714286, 0.07714286, 0.084285714, 0.08285714, 0.074285716, 0.071428575, 0.08, 0.07714286, 0.068571426, 0.07857143, 0.07, 0.071428575, 0.07714286, 0.07571428, 0.074285716, 0.074285716, 0.07714286, 0.07714286, 0.07857143, 0.074285716, 0.08, 0.08142857, 0.08, 0.07857143, 0.071428575, 0.07714286, 0.071428575, 0.074285716, 0.07285714, 0.07285714, 0.07285714, 0.065714285, 0.06714286, 0.07285714, 0.07714286, 0.07285714, 0.07571428, 0.07857143, 0.07571428, 0.07285714, 0.074285716, 0.07571428, 0.07714286, 0.07571428, 0.07714286, 0.07571428, 0.07857143, 0.074285716, 0.084285714]",728.1677415294032,"[2.685967, 2.6872213, 2.6585371, 2.6420472, 2.6416094, 2.626317, 2.6128664, 2.601664, 2.5972672, 2.5779018, 2.5918248, 2.563467, 2.5809379, 2.5720558, 2.5608127, 2.548818, 2.5569065, 2.542908, 2.5504763, 2.5433583, 2.5411167, 2.5159285, 2.549732, 2.5464983, 2.551712, 2.5529947, 2.5412228, 2.5358768, 2.5284677, 2.5412567, 2.5156791, 2.530323, 2.531965, 2.5335324, 2.5173812, 2.507544, 2.5361543, 2.534681, 2.5219846, 2.505097, 2.5276084, 2.5219831, 2.5108476, 2.5174668, 2.5079749, 2.516195, 2.5116196, 2.5143476, 2.5051994, 2.5059783, 2.5098274, 2.4935837, 2.5146158, 2.5080452, 2.504991, 2.5060022, 2.515805, 2.5242538, 2.512825, 2.5160522, 2.5074604, 2.5283256]"
5,34,q5_word_cnn_0.1,"[0.09142857, 0.11857143, 0.071428575, 0.07, 0.07285714, 0.114285715, 0.114285715, 0.12571429, 0.13142857, 0.12428571, 0.09428571, 0.092857145, 0.12, 0.11857143, 0.09, 0.09, 0.087142855, 0.08857143, 0.14428571, 0.13571429, 0.14857143, 0.13857143, 0.14285715, 0.10285714, 0.105714284, 0.12857144, 0.13571429, 0.13714285, 0.12428571, 0.117142856, 0.14571428, 0.122857146, 0.12714286, 0.14285715]",249.60001075969024,"[2.6803644, 2.6032069, 2.477262, 2.4074452, 2.3417695, 2.2879028, 2.2353537, 2.1697965, 2.168492, 2.1651967, 2.1426787, 2.1217535, 2.0858464, 2.0890143, 2.135844, 2.0629642, 2.059837, 2.060919, 2.0603192, 2.0793836, 2.048258, 2.018387, 2.0538864, 2.0322773, 1.9893134, 1.9797721, 1.9651984, 1.9677558, 1.9819949, 1.9642347, 1.9391193, 1.9914064, 1.9630146, 1.9130903]"
6,49,q5_char_rnn_0.1,"[0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.13857143, 0.17428571, 0.16571428, 0.19571428, 0.25, 0.27, 0.29, 0.29857144, 0.29, 0.3014286, 0.30714285, 0.31142858, 0.3257143, 0.31, 0.3342857, 0.31714284, 0.30857143, 0.35285714, 0.34285715, 0.3257143, 0.33714285, 0.34571427, 0.3342857, 0.31, 0.32857144, 0.34714285, 0.3557143, 0.3342857, 0.34714285, 0.34571427, 0.34571427, 0.3342857, 0.34714285, 0.34285715, 0.35142857, 0.35142857, 0.36]",7699.077523484522,"[2.6884086, 2.6752079, 2.6673632, 2.6616173, 2.6550145, 2.6537912, 2.6529384, 2.6492782, 2.648244, 2.6472938, 2.6465042, 2.6487126, 2.6108909, 2.5519462, 2.4608605, 2.4023054, 2.3461502, 2.3332062, 2.2997031, 2.2356603, 2.246685, 2.2096488, 2.1857853, 2.1761115, 2.1557207, 2.1394236, 2.1188252, 2.115631, 2.093717, 2.0761356, 2.0693424, 2.0707912, 2.0487406, 2.0157416, 1.9996848, 1.9988567, 1.9980831, 2.009669, 1.9715999, 1.9504604, 1.9402102, 1.9812125, 1.9302273, 1.9400096, 1.9429282, 1.9483409, 1.9155431, 1.9042861, 1.9183044]"
7,62,q5_word_rnn_0.1,"[0.07, 0.071428575, 0.071428575, 0.07285714, 0.07, 0.071428575, 0.071428575, 0.08571429, 0.14857143, 0.20285714, 0.24142857, 0.3157143, 0.41142857, 0.46, 0.5114286, 0.49571428, 0.58, 0.57285714, 0.56285715, 0.62857145, 0.60571426, 0.7014286, 0.6457143, 0.68714285, 0.5857143, 0.69714284, 0.6342857, 0.68857145, 0.7342857, 0.7271429, 0.7457143, 0.74142855, 0.7542857, 0.7228571, 0.7557143, 0.74857146, 0.7557143, 0.76, 0.76857144, 0.7614286, 0.76428574, 0.7657143, 0.7785714, 0.7657143, 0.7885714, 0.7885714, 0.7657143, 0.7714286, 0.7814286, 0.78571427, 0.79142857, 0.7457143, 0.75714284, 0.75, 0.74714285, 0.7014286, 0.7457143, 0.7714286, 0.7785714, 0.78571427, 0.7842857, 0.7871429]",7736.090325540112,"[2.6858668, 2.6730008, 2.667008, 2.6567817, 2.655088, 2.6543586, 2.6485837, 2.639449, 2.3575654, 2.174704, 2.067785, 1.9450247, 1.8732971, 1.8228195, 1.838807, 1.7700998, 1.7682927, 1.726649, 1.6856804, 1.651226, 1.6540301, 1.604165, 1.599664, 1.5951384, 1.5858974, 1.5946014, 1.5544224, 1.5640845, 1.539414, 1.5271827, 1.5147377, 1.5274782, 1.4860729, 1.4914984, 1.4670049, 1.4570827, 1.4589682, 1.4609988, 1.4463228, 1.4504617, 1.4229586, 1.4095631, 1.4279269, 1.4343784, 1.4076198, 1.3963965, 1.384905, 1.4200699, 1.411672, 1.3842314, 1.4051539, 1.4535763, 1.476461, 1.4687963, 1.4289403, 1.8190645, 1.5283077, 1.4773327, 1.4358538, 1.3996233, 1.4069425, 1.3847729]"
8,31,q5_char_cnn_0.3,"[0.13571429, 0.17571428, 0.18571429, 0.19714285, 0.19142857, 0.2, 0.22142857, 0.23714286, 0.25285715, 0.27571428, 0.2742857, 0.30714285, 0.28, 0.32285714, 0.29857144, 0.30285713, 0.32, 0.29142857, 0.30714285, 0.30285713, 0.30571428, 0.3042857, 0.3014286, 0.30714285, 0.32142857, 0.28142858, 0.2942857, 0.29857144, 0.30285713, 0.29857144, 0.2857143]",731.6902837445659,"[2.5512168, 2.428135, 2.3145802, 2.2347794, 2.1904082, 2.1417427, 2.1237397, 2.0839233, 2.0652537, 2.0180318, 1.9879235, 1.9387591, 1.9350936, 1.908953, 1.9217495, 1.9037955, 1.9143782, 1.8859453, 1.8874891, 1.8537652, 1.868977, 1.8314185, 1.8170869, 1.8262894, 1.7947977, 1.8308047, 1.798945, 1.794583, 1.7690265, 1.7744633, 1.775562]"
9,24,q5_word_cnn_0.3,"[0.38142857, 0.62285715, 0.61, 0.6585714, 0.66, 0.6542857, 0.6642857, 0.67285717, 0.68714285, 0.7157143, 0.7228571, 0.6757143, 0.6614286, 0.7171429, 0.6414286, 0.6757143, 0.7057143, 0.7457143, 0.6842857, 0.6757143, 0.67142856, 0.7242857, 0.72, 0.7271429]",230.75000445048013,"[1.8673127, 1.2141693, 0.9281186, 0.71091235, 0.633816, 0.57793885, 0.5154505, 0.5180273, 0.44934708, 0.40552646, 0.41359645, 0.36006072, 0.4062292, 0.37340066, 0.53937715, 0.3423282, 0.31577045, 0.30974835, 0.31226414, 0.30253002, 0.34818214, 0.3478578, 0.328562, 0.32763064]"
