dict_key,train_err_list,test_acc_dict,time_to_update_list,epochs_list,converge_test_accuracy
char_cnn_no_dropout,"[2.3255737, 1.7751504, 1.451746, 1.2518781, 1.0735966, 0.971743, 0.84279394, 0.7327694, 0.6492513, 0.5983431, 0.56221306, 0.4989521, 0.43332168, 0.40595108, 0.3774136, 0.34395492, 0.31943092, 0.3017846, 0.2862124, 0.24851474, 0.23668313, 0.21767917, 0.21611899]","[0.18142857, 0.3157143, 0.36571428, 0.36285713, 0.3857143, 0.38857144, 0.41142857, 0.38857144, 0.39857143, 0.40142858, 0.40857142, 0.40428573, 0.40857142, 0.41428572, 0.40142858, 0.41142857, 0.41, 0.42, 0.4, 0.40142858, 0.40285715, 0.40714285, 0.41142857]",19.640399932861328,23,0.4114285707473755
word_cnn_no_dropout,"[1.7261176, 0.5938821, 0.14847673, 0.029723365, 0.00890412, 0.0034680888, 0.0027794873, 0.0014821782, 0.0011603904, 0.0010540639, 0.0009771986, 0.00092603615, 0.0008406439, 0.0008071448, 0.0007648175, 0.0002102674, 0.00015714139, 0.00013308633, 0.000116601215, 0.00010445785, 9.513247e-05, 8.6513675e-05, 7.9364894e-05, 7.314511e-05]","[0.37, 0.6942857, 0.8242857, 0.8471429, 0.86142856, 0.8585714, 0.87285715, 0.8685714, 0.87285715, 0.86714286, 0.87142855, 0.87142855, 0.8657143, 0.87142855, 0.8685714, 0.8657143, 0.8685714, 0.87, 0.87, 0.87142855, 0.87, 0.87, 0.87, 0.87]",5.647199869155884,24,0.8700000047683716
char_rnn_no_dropout,"[2.6454663, 2.6459353, 2.6206272, 2.390591, 2.1930175, 1.9899466, 1.887292, 1.7115499, 1.6177237, 1.5528123, 1.4854573, 1.467272, 1.397812, 1.3566239, 1.3094989, 1.3109139, 1.2254113, 1.201934, 1.159063, 1.1369853, 1.3054668, 1.113161, 1.075617, 1.0542388, 1.0248927, 1.0485901, 1.0387037, 1.0043901, 0.97913533, 0.95927626, 0.9909813, 0.91990834, 0.91061926, 0.88123465, 0.8757171, 0.89048296, 0.8636607, 0.8458037]","[0.071428575, 0.071428575, 0.084285714, 0.18142857, 0.26142856, 0.29857144, 0.36142856, 0.36, 0.40285715, 0.39, 0.42, 0.40857142, 0.4457143, 0.46571428, 0.45714286, 0.42714286, 0.46, 0.4457143, 0.4542857, 0.47142857, 0.42857143, 0.44714287, 0.4542857, 0.45285714, 0.45285714, 0.44, 0.4642857, 0.45285714, 0.46285716, 0.4457143, 0.44285715, 0.46285716, 0.45857143, 0.43142858, 0.44285715, 0.44285715, 0.4542857, 0.4557143]",266.869197845459,38,0.45571428537368774
word_rnn_no_dropout,"[2.4516547, 1.8914821, 1.4241878, 0.8992558, 0.41373497, 0.18478012, 0.08813565, 0.055871174, 0.036881782, 0.040815827, 0.025217785, 0.016653648, 0.011967128, 0.0087698465, 0.0069775973, 0.005985701, 0.0050713033, 0.0041742846, 0.0037090953, 0.0032945257, 0.002943476, 0.0026411712, 0.0024036365, 0.0021986521, 0.002023266, 0.0018701872, 0.0017357413, 0.0016144695, 0.001506363]","[0.13714285, 0.23714286, 0.40285715, 0.62714285, 0.77428573, 0.79571426, 0.81285715, 0.79, 0.83428574, 0.82857144, 0.80285716, 0.8, 0.79714286, 0.82857144, 0.81, 0.8142857, 0.80285716, 0.8057143, 0.8057143, 0.8142857, 0.81, 0.80857146, 0.80857146, 0.80714285, 0.8057143, 0.8057143, 0.8057143, 0.80714285, 0.80857146]",220.8647997379303,29,0.808571457862854
char_cnn_dropout_0.1,"[2.6853204, 2.6787362, 2.6667707, 2.6635578, 2.6560326, 2.654297, 2.6493766, 2.6491804, 2.6489065, 2.645847, 2.6463275, 2.6453767, 2.646597, 2.6457405, 2.6438603, 2.6434274, 2.643834, 2.6443224, 2.6439583, 2.64508, 2.6435692, 2.6431963, 2.6421547, 2.6433942, 2.6424792, 2.6421463, 2.6426141, 2.6414342, 2.6417975, 2.6417198, 2.6402118, 2.641581, 2.6413045, 2.641114, 2.6412833, 2.6415458, 2.6404884, 2.6403577, 2.6394405, 2.6407926, 2.6401196, 2.6405323, 2.6406338, 2.6406212, 2.6405358, 2.6404626, 2.6403902]","[0.057142857, 0.06, 0.065714285, 0.08571429, 0.057142857, 0.065714285, 0.07714286, 0.08142857, 0.068571426, 0.074285716, 0.06428572, 0.06, 0.07, 0.06285714, 0.084285714, 0.08571429, 0.08571429, 0.07285714, 0.08142857, 0.074285716, 0.07, 0.07571428, 0.08, 0.068571426, 0.06285714, 0.07857143, 0.08571429, 0.06428572, 0.057142857, 0.07, 0.068571426, 0.08857143, 0.07285714, 0.068571426, 0.06, 0.065714285, 0.08285714, 0.08571429, 0.061428573, 0.07714286, 0.09, 0.057142857, 0.07857143, 0.06, 0.058571428, 0.09428571, 0.071428575]",342.3108015060425,47,0.0714285746216774
word_cnn_dropout_0.1,"[2.6859343, 2.6723108, 2.6663654, 2.6569178, 2.6548877, 2.6531246, 2.6433146, 2.367911, 2.1493058, 2.0368505, 1.9354458, 1.8724436, 1.8430884, 1.8071804, 1.7835555, 1.7362849, 1.7372456, 1.69477, 1.6876229, 1.6679682, 1.6733646, 1.6188589, 1.5991786, 1.5843647, 1.5675719, 1.5427012, 1.5522078, 1.5553253, 1.5070025, 1.5094069, 1.4985179, 1.4723053, 1.4705799, 1.4592313, 1.4576659, 1.4538075, 1.4816551, 1.4451871, 1.4399037, 1.4533997, 1.4100708, 1.4067736, 1.4179997, 1.4395213, 1.4493704, 1.4327517, 1.4125359, 1.4042612, 1.4128519, 1.3928115, 1.3590493, 1.3866999, 1.3800865, 1.3368498, 1.3706686, 1.3774228, 1.3525811, 1.3265086, 1.3603829, 1.3473887, 1.3583746, 1.5389291, 1.3945341, 1.3932979, 1.373434, 1.3595088, 1.3692952, 1.3450121, 1.3314344, 1.338449, 1.335255, 1.3261501, 1.3431922]","[0.074285716, 0.07714286, 0.08285714, 0.06714286, 0.058571428, 0.08142857, 0.10714286, 0.13428572, 0.19571428, 0.18714286, 0.20571429, 0.21428572, 0.21571429, 0.25142857, 0.24428572, 0.25, 0.24285714, 0.3, 0.32285714, 0.27714285, 0.26714286, 0.30714285, 0.31, 0.2857143, 0.31, 0.33714285, 0.32, 0.33142856, 0.32857144, 0.34857142, 0.35, 0.34714285, 0.3557143, 0.36142856, 0.35, 0.34857142, 0.35, 0.36142856, 0.32714286, 0.37857142, 0.41428572, 0.37142858, 0.33571428, 0.35714287, 0.40285715, 0.40285715, 0.39571428, 0.35142857, 0.4, 0.36714286, 0.41857144, 0.36857143, 0.35857144, 0.43285716, 0.40571427, 0.39, 0.4457143, 0.40857142, 0.37285715, 0.42571428, 0.39571428, 0.33142856, 0.39285713, 0.35428572, 0.4, 0.41428572, 0.42571428, 0.41714287, 0.37142858, 0.39714286, 0.40714285, 0.41428572, 0.42142856]",558.2616000175476,73,0.4214285612106323
char_rnn_dropout_0.1,"[2.6867442, 2.6713872, 2.6646461, 2.6599438, 2.6541035, 2.655456, 2.6524463, 2.6502876, 2.6503513, 2.6504602, 2.647106, 2.6347365, 2.5866017, 2.5091183, 2.4813483, 2.4178295, 2.3779473, 2.3283403, 2.311288, 2.2558684, 2.2585218, 2.2309918, 2.197331, 2.197978, 2.1619937, 2.17338, 2.1447124, 2.1312199, 2.0894656, 2.1075964, 2.0791655, 2.071874, 2.0684397, 2.020382, 1.9941136, 2.055316, 2.0068648, 1.9915732, 1.9630325, 1.9490849, 1.9720262, 1.9786942, 1.9550753, 1.9240291, 1.9146469, 1.9079313, 1.9217752, 1.9377599, 1.9799955, 1.9075847, 1.8688993, 1.8886561, 1.8759009, 1.9038705, 1.8509984, 1.8634912, 1.837616, 1.876665, 1.8528211, 1.8673601, 1.9184815, 1.8402958]","[0.06714286, 0.065714285, 0.071428575, 0.057142857, 0.06428572, 0.07714286, 0.07285714, 0.07714286, 0.058571428, 0.07285714, 0.071428575, 0.084285714, 0.10714286, 0.11857143, 0.12428571, 0.15571429, 0.16857143, 0.16142857, 0.17, 0.2, 0.16714285, 0.19285715, 0.22285715, 0.18428572, 0.20142858, 0.19571428, 0.19714285, 0.18714286, 0.21142857, 0.19142857, 0.20857143, 0.24142857, 0.21428572, 0.20714286, 0.20571429, 0.19, 0.22, 0.21857142, 0.24571429, 0.21857142, 0.22142857, 0.22142857, 0.23714286, 0.22285715, 0.22285715, 0.22142857, 0.24142857, 0.22285715, 0.20714286, 0.24714285, 0.22142857, 0.24571429, 0.21714285, 0.21428572, 0.22571428, 0.2, 0.21571429, 0.22571428, 0.25142857, 0.22, 0.23714286, 0.20285714]",445.5828003883362,62,0.2028571367263794
word_rnn_dropout_0.1,"[2.689003, 2.6713276, 2.6626432, 2.6562054, 2.645099, 2.5862474, 2.5345507, 2.297265, 2.062806, 1.9753976, 1.9168377, 1.8328182, 1.8022695, 1.7700006, 1.7789478, 1.734626, 1.7147549, 1.6833347, 1.6649672, 1.6639082, 1.6410824, 1.625678, 1.6143475, 1.5957158, 1.5713992, 1.5497316, 1.5607159, 1.5448774, 1.523905, 1.5323328, 1.5366488, 1.5186225, 1.5082211, 1.5826293, 1.4934782, 1.5076748, 1.501818, 1.5098425, 1.4696509, 1.4610285, 1.4669844, 1.4697485, 1.435458, 1.4560225, 1.421793, 1.4409834, 1.4360771, 1.4775215, 1.4764309, 1.434619, 1.4120326, 1.4095966, 1.4453623, 1.422136, 1.4073584, 1.3964262, 1.3930143, 1.3907143, 1.405552, 1.3647616, 1.3971407, 1.3938669, 1.3873234, 1.3888999, 1.4340961, 1.4208709, 1.4079492, 1.3765194, 1.397032, 1.3828493, 1.3857936, 1.3783481, 1.3678558, 1.3487356, 1.3626766, 1.3428144, 1.3354535, 1.3587756, 1.3372021, 1.3563617, 1.4093901, 1.4181306, 1.3689998, 1.3461274, 1.3390303, 1.3594121, 1.356821, 1.3462262, 1.3787783, 1.3226389, 1.34625, 1.3460637, 1.3353984, 1.3332295, 1.3099583, 1.3231071, 1.3636872, 1.3529214, 1.3307498, 1.3369627, 1.3280014, 1.314166, 1.3358675, 1.3024414]","[0.08142857, 0.061428573, 0.06714286, 0.07571428, 0.05142857, 0.12428571, 0.114285715, 0.16142857, 0.20285714, 0.24285714, 0.21142857, 0.24142857, 0.25, 0.26857144, 0.25285715, 0.28857142, 0.25428572, 0.28857142, 0.2642857, 0.31142858, 0.3342857, 0.3042857, 0.31428573, 0.30857143, 0.31, 0.32857144, 0.37142858, 0.33714285, 0.33142856, 0.31142858, 0.3157143, 0.36142856, 0.34714285, 0.34285715, 0.34714285, 0.35142857, 0.38857144, 0.34428573, 0.39142856, 0.36, 0.37428573, 0.38428572, 0.40428573, 0.39857143, 0.39142856, 0.37285715, 0.37285715, 0.3642857, 0.40142858, 0.35857144, 0.41428572, 0.35714287, 0.37428573, 0.37857142, 0.39857143, 0.43142858, 0.3857143, 0.37285715, 0.39857143, 0.41714287, 0.41, 0.37857142, 0.37428573, 0.42142856, 0.38142857, 0.37285715, 0.41, 0.38, 0.37428573, 0.37428573, 0.40571427, 0.4, 0.41428572, 0.37428573, 0.4242857, 0.40428573, 0.38857144, 0.39285713, 0.40428573, 0.39714286, 0.42714286, 0.37571427, 0.39571428, 0.37285715, 0.39571428, 0.39714286, 0.40571427, 0.40857142, 0.40857142, 0.37142858, 0.40285715, 0.40714285, 0.38428572, 0.43, 0.44142857, 0.39857143, 0.36571428, 0.37714285, 0.40714285, 0.39571428, 0.39571428, 0.40142858, 0.41857144, 0.38428572]",783.2135994434357,104,0.38428571820259094
char_cnn_dropout_0.3,"[2.6737814, 2.6612542, 2.6591425, 2.652109, 2.650159, 2.63923, 2.4411151, 2.333476, 2.1752179, 2.0866752, 1.9736592, 1.8956622, 1.8256775, 1.8188565, 1.7827244, 1.71884, 1.6822925, 1.6729681, 1.6484209, 1.6122338, 1.61615, 1.5701962, 1.5767034, 1.52484, 1.5112507, 1.5031304, 1.5252105, 1.4732107, 1.4447317, 1.4562436, 1.4364892, 1.3892357, 1.4303442, 1.3926516, 1.4026883, 1.3575736, 1.355786, 1.3472866, 1.3216679, 1.2898239, 1.3094298, 1.2929108, 1.3232524]","[0.052857142, 0.08142857, 0.07, 0.074285716, 0.07571428, 0.095714286, 0.13142857, 0.18714286, 0.2242857, 0.24428572, 0.28142858, 0.3, 0.31714284, 0.33142856, 0.34285715, 0.33, 0.34714285, 0.34857142, 0.35, 0.36, 0.38142857, 0.35285714, 0.36857143, 0.34857142, 0.38428572, 0.37571427, 0.37714285, 0.39857143, 0.3942857, 0.3557143, 0.35857144, 0.36, 0.37571427, 0.38857144, 0.3942857, 0.40142858, 0.36857143, 0.37571427, 0.4, 0.38285714, 0.38428572, 0.36714286, 0.36]",300.5339994430542,43,0.36000001430511475
word_cnn_dropout_0.3,"[2.674799, 2.6617062, 2.6514723, 2.2973406, 1.8652163, 1.5109737, 1.2155802, 1.0199767, 0.85819197, 0.8257421, 0.75699997, 0.6677409, 0.6214508, 0.59035647, 0.55368465, 0.4892286, 0.47224158, 0.45638195, 0.4496881, 0.43118346, 0.39563736, 0.3787071, 0.37679666, 0.3808143, 0.3600742, 0.3413642, 0.35880166, 0.39652047, 0.40129653, 0.37511027, 0.3833697, 0.34640247, 0.32101628, 0.32569733, 0.3200755, 0.3229698, 0.3255487, 0.35725722, 0.3851955, 0.33910403, 0.32678533, 0.34282255, 0.32987943, 0.29826394, 0.30826327]","[0.058571428, 0.061428573, 0.07, 0.13428572, 0.21285714, 0.36714286, 0.4642857, 0.50285715, 0.51714283, 0.5642857, 0.62285715, 0.67285717, 0.69714284, 0.6842857, 0.70428574, 0.74714285, 0.7185714, 0.71, 0.7128571, 0.7214286, 0.75285715, 0.73714286, 0.7771429, 0.7228571, 0.77428573, 0.76714283, 0.7442857, 0.71428573, 0.73285717, 0.73142856, 0.7185714, 0.7442857, 0.74, 0.75285715, 0.76, 0.7757143, 0.7614286, 0.75714284, 0.73571426, 0.74714285, 0.76857144, 0.75, 0.7771429, 0.7728571, 0.76428574]",339.2064003944397,45,0.7642857432365417
